,Rank,Username,Battle Rating,Offense,Defense,BR Per Win
1,1,LegitBoomy,"4,041,400",556/556,18/36,"7,040.77"
2,2,RomaBelboa,"3,267,990",492/493,5/18,"6,575.43"
3,3,myogyi3090,"3,266,000",395/396,12/29,"8,024.57"
4,4,doctordex,"2,565,275",408/443,6/27,"6,196.32"
5,5,A.ssEater,"2,468,180",805/805,38/146,"2,927.85"
6,6,Ale3319872,"2,283,640",567/567,8/27,"3,971.55"
7,7,ace9956,"2,026,175",284/290,4/26,"7,035.33"
8,8,Beromaro,"1,932,390",301/321,7/30,"6,273.99"
9,9,shzheujzbd,"1,822,560",310/368,2/35,"5,841.54"
10,10,BlkLightng,"1,609,060",337/337,7/25,"4,677.50"
11,11,PRETAO_011,"1,594,550",247/262,2/22,"6,403.82"
12,12,Zantwon2,"1,590,050",223/223,3/32,"7,035.62"
13,13,GodsLove,"1,494,000",243/275,1/29,"6,122.95"
14,14,darcy1570,"1,416,260",341/342,7/13,"4,069.71"
15,15,prem2001,"1,414,500",298/326,5/24,"4,668.32"
16,16,JAMEEL32,"1,397,650",228/228,1/20,"6,103.28"
17,17,NameSanZ,"1,307,300",318/318,1/17,"4,098.12"
18,18,Alis2000,"1,298,330",191/196,9/28,"6,491.65"
19,19,Tomoha,"1,257,900",178/191,1/10,"7,027.37"
20,20,KOUBA,"1,244,360",230/242,4/10,"5,317.78"
21,21,jdjsjssjs,"1,233,000",170/191,11/64,"6,812.15"
22,22,Aiyappa,"1,206,490",181/199,4/48,"6,521.57"
23,23,siiegfried,"1,204,550",245/245,1/29,"4,896.54"
24,24,20210101,"1,138,200",133/133,8/15,"8,072.34"
25,25,Stifler69,"1,129,380",163/163,2/10,"6,844.73"
26,26,mokhtar48,"1,120,915",236/243,7/19,"4,612.82"
27,27,Witas260,"1,116,800",153/158,12/17,"6,768.48"
28,28,DickVC,"1,109,925",277/290,4/30,"3,949.91"
29,29,OldMonk,"1,102,250",164/164,0/19,"6,721.04"
30,30,aksjohny,"1,099,840",305/305,7/36,"3,525.13"
31,31,JORABEK,"1,099,520",307/311,8/17,"3,490.54"
32,32,Jimmy_Zone,"1,085,190",192/203,7/43,"5,453.22"
33,33,John_nami,"1,083,630",178/178,3/42,"5,986.91"
34,34,Nameke.,"1,073,100",158/158,6/18,"6,543.29"
35,35,exfator,"1,070,000",209/235,2/30,"5,071.09"
36,36,shapi,"1,068,700",129/129,11/24,"7,633.57"
37,37,67gtGto,"1,064,120",171/172,10/15,"5,879.12"
38,38,Lionclasic,"1,058,440",238/254,2/23,"4,410.17"
